|forms|spot|color, 紫红色, 月季枝枯病
|forms|spot|color, 浅绿色, 月季枝枯病
|forms|spot|color, 白色, 月季枝枯病
|forms|spot|location, 茎, 月季枝枯病
|forms|texture|location, 茎, 月季枝枯病
|forms|texture|change|pre, 微小突起, 月季枝枯病
|forms|texture|change|pos, 裂缝, 月季枝枯病
|forms|texture|change|pos, 黑色泡子堆, 月季枝枯病
|forms|texture|change|pos, 下陷, 月季枝枯病
|forms|texture|change|pos, 枯萎, 月季枝枯病
|harm plants, 茎, 月季枝枯病
|forms|taste, 腐臭味, 玉米茎腐病
|forms|texture|location, 茎, 玉米茎腐病
|forms|texture|change|pos, 水渍状淡褐色病变, 玉米茎腐病
|forms|texture|change|pos, 变软下陷, 玉米茎腐病
|forms|texture|change|pos, 黄褐色腐臭菌液, 玉米茎腐病
|forms|texture|change|pos, 水渍状腐烂, 玉米茎腐病
|forms|texture|location, 根, 玉米茎腐病
|forms|texture|change|pos, 剥离, 玉米茎腐病
|forms|texture|change|pos, 畸形, 玉米茎腐病
|harm plants, 茎, 玉米茎腐病
|harm plants, 根, 玉米茎腐病
|forms|spot|color, 黑色, 苹果黑星病
|forms|spot|color, 褐色, 苹果黑星病
|forms|spot|shape, 圆, 苹果黑星病
|forms|spot|shape, 放射状, 苹果黑星病
|forms|spot|location, 叶, 苹果黑星病
|forms|texture|location, 叶, 苹果黑星病
|forms|texture|change|pre, 绿褐色霉层, 苹果黑星病
|forms|texture|change|pos, 枯萎, 苹果黑星病
|forms|texture|change|pos, 易脱落, 苹果黑星病
|forms|texture|change|pos, 黑霉, 苹果黑星病
|harm plants, 叶, 苹果黑星病
|forms|spot|color, 褐色, 灰霉病
|forms|spot|color, 灰白色, 灰霉病
|forms|spot|shape, 纹, 灰霉病
|forms|spot|shape, V形, 灰霉病
|forms|spot|location, 叶, 灰霉病
|forms|texture|location, 果面, 灰霉病
|forms|texture|change|pre, 灰霉层, 灰霉病
|forms|texture|change|pos, 水腐, 灰霉病
|harm plants, 花, 灰霉病
|harm plants, 茎, 灰霉病
|harm plants, 叶, 灰霉病
|harm plants, 果, 灰霉病
|forms|spot|color, 黄褐色, 病毒病
|forms|spot|color, 红褐色, 病毒病
|forms|spot|shape, 不规则形, 病毒病
|forms|spot|location, 果面, 病毒病
|forms|texture|location, 叶, 病毒病
|forms|texture|change|pre, 退绿, 病毒病
|forms|texture|change|pre, spot驳, 病毒病
|forms|texture|change|pos, 畸形, 病毒病
|forms|texture|change|pos, 皱缩, 病毒病
|forms|texture|change|pos, 生长缓慢, 病毒病
|forms|texture|change|pos, 矮化, 病毒病
|forms|texture|location, 果, 病毒病
|forms|texture|change|pos, 易脱落, 病毒病
|forms|texture|change|pos, 凹凸不平, 病毒病
|forms|texture|change|pos, 僵化, 病毒病
|forms|texture|change|pos, 坏死, 病毒病
|forms|texture|change|pos, 穿孔, 病毒病
|forms|texture|change|pos, 病spot, 病毒病
|forms|texture|change|pos, 绿色环, 病毒病
|harm plants, 叶, 病毒病
|forms|texture|location, 叶, 苹果小叶病
|forms|texture|change|pos, 边缘上卷, 苹果小叶病
|forms|texture|change|pos, 脆硬, 苹果小叶病
|forms|texture|change|pos, 柳叶状, 苹果小叶病
|forms|texture|change|pos, 小叶, 苹果小叶病
|forms|texture|location, 花, 苹果小叶病
